lga_name,month,bev_seen
Somerset,2026-03,134
South Burnett,2026-03,80
Southern Downs,2026-03,122
Sunshine Coast,2026-03,4953
Tablelands,2026-03,120
Toowoomba,2026-03,1117
Torres,2026-03,4
Townsville,2026-03,1552
Weipa,2026-03,3
Western Downs,2026-03,71
Whitsunday,2026-03,105
Winton,2026-03,1
Balonne,2026-04,3
Banana,2026-04,17
Barcaldine,2026-04,1
Barcoo,2026-04,1
Brisbane,2026-04,36103
Bundaberg,2026-04,415
Burdekin,2026-04,32
Burke,2026-04,1
Cairns,2026-04,1393
Cassowary Coast,2026-04,85
Central Highlands,2026-04,52
Charters Towers,2026-04,22
Cloncurry,2026-04,1
Cook,2026-04,2
Doomadgee,2026-04,1
Douglas,2026-04,65
Etheridge,2026-04,1
Flinders,2026-04,2
Fraser Coast,2026-04,590
Gladstone,2026-04,242
Gold Coast,2026-04,11961
Goondiwindi,2026-04,9
Gympie,2026-04,230
Hinchinbrook,2026-04,21
Ipswich,2026-04,3336
Isaac,2026-04,31
Livingstone,2026-04,194
Lockyer Valley,2026-04,264
Logan,2026-04,4480
Longreach,2026-04,3
Mackay,2026-04,465
Maranoa,2026-04,37
Mareeba,2026-04,91
McKinlay,2026-04,1
Moreton Bay,2026-04,6659
Mount Isa,2026-04,18
Murweh,2026-04,1
Noosa,2026-04,999
North Burnett,2026-04,12
Pormpuraaw,2026-04,1
Redland,2026-04,2403
Rockhampton,2026-04,402
Scenic Rim,2026-04,405
Somerset,2026-04,154
South Burnett,2026-04,86
Southern Downs,2026-04,135
Sunshine Coast,2026-04,5247
Tablelands,2026-04,129
Toowoomba,2026-04,1195
Torres,2026-04,4
Townsville,2026-04,1639
Weipa,2026-04,3
Western Downs,2026-04,78
Whitsunday,2026-04,111
Winton,2026-04,1
Balonne,2026-05,3
Banana,2026-05,19
Barcaldine,2026-05,1
Barcoo,2026-05,1
Brisbane,2026-05,37689
Bundaberg,2026-05,460
Burdekin,2026-05,34
Burke,2026-05,1
Cairns,2026-05,1474
Cassowary Coast,2026-05,96
Central Highlands,2026-05,56
Charters Towers,2026-05,23
Cherbourg,2026-05,1
Cloncurry,2026-05,1
Cook,2026-05,2
Doomadgee,2026-05,1
Douglas,2026-05,70
Etheridge,2026-05,1
Flinders,2026-05,2
Fraser Coast,2026-05,664
Gladstone,2026-05,273
Gold Coast,2026-05,12650
Goondiwindi,2026-05,10
Gympie,2026-05,248
Hinchinbrook,2026-05,23
Ipswich,2026-05,3552
Isaac,2026-05,32
Livingstone,2026-05,213
Lockyer Valley,2026-05,288
Logan,2026-05,4815
Longreach,2026-05,3
Mackay,2026-05,494
Maranoa,2026-05,37
Mareeba,2026-05,99
McKinlay,2026-05,1
Moreton Bay,2026-05,7061
Mount Isa,2026-05,18
Murweh,2026-05,1
Noosa,2026-05,1062
North Burnett,2026-05,13
Pormpuraaw,2026-05,1
Redland,2026-05,2570
Rockhampton,2026-05,428
Scenic Rim,2026-05,426
Somerset,2026-05,171
South Burnett,2026-05,97
Southern Downs,2026-05,145
Sunshine Coast,2026-05,5573
Tablelands,2026-05,134
Toowoomba,2026-05,1272
Torres,2026-05,4
Townsville,2026-05,1732
Weipa,2026-05,3
Western Downs,2026-05,85
Whitsunday,2026-05,115
Winton,2026-05,2
Balonne,2026-06,3
Banana,2026-06,22
Barcaldine,2026-06,1
Barcoo,2026-06,1
Brisbane,2026-06,40148
Bundaberg,2026-06,510
Burdekin,2026-06,34
Burke,2026-06,1
Cairns,2026-06,1597
Cassowary Coast,2026-06,102
Central Highlands,2026-06,58
Charters Towers,2026-06,25
Cherbourg,2026-06,1
Cloncurry,2026-06,2
Cook,2026-06,2
Doomadgee,2026-06,2
Douglas,2026-06,74
Etheridge,2026-06,2
Flinders,2026-06,3
Fraser Coast,2026-06,734
Gladstone,2026-06,303
Gold Coast,2026-06,13568
Goondiwindi,2026-06,13
Gympie,2026-06,278
Hinchinbrook,2026-06,23
Ipswich,2026-06,3863
Isaac,2026-06,33
Livingstone,2026-06,238
Lockyer Valley,2026-06,323
Logan,2026-06,5217
Longreach,2026-06,3
Mackay,2026-06,561
Maranoa,2026-06,38
Mareeba,2026-06,107
McKinlay,2026-06,1
Moreton Bay,2026-06,7777
Mount Isa,2026-06,23
Murweh,2026-06,1
Noosa,2026-06,1133
North Burnett,2026-06,15
Pormpuraaw,2026-06,1
Redland,2026-06,2769
Rockhampton,2026-06,462
Scenic Rim,2026-06,471
Somerset,2026-06,186
South Burnett,2026-06,103
Southern Downs,2026-06,167
Sunshine Coast,2026-06,6064
Tablelands,2026-06,146
Toowoomba,2026-06,1407
Torres,2026-06,4
Townsville,2026-06,1884
Weipa,2026-06,3
Western Downs,2026-06,92
Whitsunday,2026-06,128
Winton,2026-06,2
Balonne,2026-07,4
Banana,2026-07,22
Barcaldine,2026-07,1
Barcoo,2026-07,1
Brisbane,2026-07,42112
Bundaberg,2026-07,543
Burdekin,2026-07,34
Burke,2026-07,1
Cairns,2026-07,1699
Cassowary Coast,2026-07,108
Central Highlands,2026-07,60
Charters Towers,2026-07,29
Cherbourg,2026-07,1
Cloncurry,2026-07,2
Cook,2026-07,2
Doomadgee,2026-07,2
Douglas,2026-07,80
Etheridge,2026-07,2
Flinders,2026-07,3
Fraser Coast,2026-07,784
Gladstone,2026-07,321
Gold Coast,2026-07,14256
Goondiwindi,2026-07,14
Gympie,2026-07,301
Hinchinbrook,2026-07,24
Ipswich,2026-07,4099
Isaac,2026-07,37
Livingstone,2026-07,256
Lockyer Valley,2026-07,341
Logan,2026-07,5507
Longreach,2026-07,3
Mackay,2026-07,592
Maranoa,2026-07,39
Mareeba,2026-07,115
McKinlay,2026-07,1
Moreton Bay,2026-07,8199
Mount Isa,2026-07,24
Murweh,2026-07,1
Noosa,2026-07,1193
North Burnett,2026-07,16
Pormpuraaw,2026-07,1
Redland,2026-07,2912
Rockhampton,2026-07,500
Scenic Rim,2026-07,497
Somerset,2026-07,200
South Burnett,2026-07,110
Southern Downs,2026-07,176
Sunshine Coast,2026-07,6433
Tablelands,2026-07,152
Toowoomba,2026-07,1488
Torres,2026-07,4
Townsville,2026-07,1995
Weipa,2026-07,3
Western Downs,2026-07,92
Whitsunday,2026-07,131
Winton,2026-07,2
Balonne,2026-08,4
Banana,2026-08,25
Barcaldine,2026-08,1
Barcoo,2026-08,1
Brisbane,2026-08,44300
Bundaberg,2026-08,581
Burdekin,2026-08,38
Burke,2026-08,1
Cairns,2026-08,1786
Cassowary Coast,2026-08,116
Central Highlands,2026-08,66
Charters Towers,2026-08,31
Cherbourg,2026-08,1
Cloncurry,2026-08,2
Cook,2026-08,2
Doomadgee,2026-08,2
Douglas,2026-08,83
Etheridge,2026-08,2
Flinders,2026-08,3
Fraser Coast,2026-08,841
Gladstone,2026-08,350
Gold Coast,2026-08,14989
Goondiwindi,2026-08,15
Gympie,2026-08,309
Hinchinbrook,2026-08,28
Ipswich,2026-08,4352
Isaac,2026-08,40
Livingstone,2026-08,281
Lockyer Valley,2026-08,369
Logan,2026-08,5846
Longreach,2026-08,3
Mackay,2026-08,641
Maranoa,2026-08,33
Mareeba,2026-08,125
McKinlay,2026-08,1
Moreton Bay,2026-08,8709
Mount Isa,2026-08,25
Murweh,2026-08,1
Noosa,2026-08,1255
North Burnett,2026-08,17
Paroo,2026-08,1
Pormpuraaw,2026-08,1
Redland,2026-08,3112
Rockhampton,2026-08,537
Scenic Rim,2026-08,529
Somerset,2026-08,212
South Burnett,2026-08,120
Southern Downs,2026-08,188
Sunshine Coast,2026-08,6769
Tablelands,2026-08,162
Toowoomba,2026-08,1562
Torres,2026-08,5
Townsville,2026-08,2118
Weipa,2026-08,3
Western Downs,2026-08,95
Whitsunday,2026-08,137
Winton,2026-08,3
