lga_name,month,bev_seen
Tablelands,2023-04,18
Toowoomba,2023-04,191
Townsville,2023-04,209
Western Downs,2023-04,16
Whitsunday,2023-04,19
Banana,2023-05,1
Brisbane,2023-05,6772
Bundaberg,2023-05,60
Burdekin,2023-05,3
Cairns,2023-05,218
Cassowary Coast,2023-05,14
Central Highlands,2023-05,13
Cook,2023-05,1
Douglas,2023-05,17
Etheridge,2023-05,1
Fraser Coast,2023-05,82
Gladstone,2023-05,28
Gold Coast,2023-05,2566
Goondiwindi,2023-05,3
Gympie,2023-05,41
Hinchinbrook,2023-05,2
Ipswich,2023-05,466
Isaac,2023-05,6
Livingstone,2023-05,27
Lockyer Valley,2023-05,35
Logan,2023-05,660
Mackay,2023-05,68
Maranoa,2023-05,3
Mareeba,2023-05,17
Moreton Bay,2023-05,999
Mount Isa,2023-05,1
Noosa,2023-05,220
North Burnett,2023-05,1
Redland,2023-05,386
Rockhampton,2023-05,55
Scenic Rim,2023-05,87
Somerset,2023-05,20
South Burnett,2023-05,23
Southern Downs,2023-05,22
Sunshine Coast,2023-05,1014
Tablelands,2023-05,20
Toowoomba,2023-05,214
Townsville,2023-05,230
Western Downs,2023-05,16
Whitsunday,2023-05,19
Banana,2023-06,1
Brisbane,2023-06,7883
Bundaberg,2023-06,69
Burdekin,2023-06,3
Cairns,2023-06,244
Cassowary Coast,2023-06,14
Central Highlands,2023-06,16
Cook,2023-06,1
Douglas,2023-06,20
Etheridge,2023-06,1
Fraser Coast,2023-06,95
Gladstone,2023-06,37
Gold Coast,2023-06,2918
Goondiwindi,2023-06,3
Gympie,2023-06,47
Hinchinbrook,2023-06,2
Ipswich,2023-06,542
Isaac,2023-06,6
Livingstone,2023-06,27
Lockyer Valley,2023-06,37
Logan,2023-06,779
Mackay,2023-06,75
Maranoa,2023-06,3
Mareeba,2023-06,18
Moreton Bay,2023-06,1158
Mount Isa,2023-06,2
Noosa,2023-06,251
North Burnett,2023-06,1
Redland,2023-06,438
Rockhampton,2023-06,61
Scenic Rim,2023-06,102
Somerset,2023-06,21
South Burnett,2023-06,25
Southern Downs,2023-06,24
Sunshine Coast,2023-06,1159
Tablelands,2023-06,22
Toowoomba,2023-06,252
Townsville,2023-06,248
Western Downs,2023-06,18
Whitsunday,2023-06,19
Banana,2023-07,1
Brisbane,2023-07,8556
Bundaberg,2023-07,73
Burdekin,2023-07,4
Cairns,2023-07,270
Cassowary Coast,2023-07,17
Central Highlands,2023-07,17
Cook,2023-07,1
Douglas,2023-07,20
Etheridge,2023-07,1
Fraser Coast,2023-07,102
Gladstone,2023-07,39
Gold Coast,2023-07,3112
Goondiwindi,2023-07,3
Gympie,2023-07,50
Hinchinbrook,2023-07,2
Ipswich,2023-07,596
Isaac,2023-07,7
Livingstone,2023-07,29
Lockyer Valley,2023-07,40
Logan,2023-07,840
Mackay,2023-07,83
Maranoa,2023-07,3
Mareeba,2023-07,20
Moreton Bay,2023-07,1247
Mount Isa,2023-07,2
Noosa,2023-07,263
North Burnett,2023-07,1
Redland,2023-07,468
Rockhampton,2023-07,71
Scenic Rim,2023-07,107
Somerset,2023-07,21
South Burnett,2023-07,28
Southern Downs,2023-07,27
Sunshine Coast,2023-07,1229
Tablelands,2023-07,23
Toowoomba,2023-07,274
Townsville,2023-07,269
Western Downs,2023-07,21
Whitsunday,2023-07,20
Banana,2023-08,1
Brisbane,2023-08,9749
Bundaberg,2023-08,89
Burdekin,2023-08,5
Cairns,2023-08,301
Cassowary Coast,2023-08,18
Central Highlands,2023-08,19
Cook,2023-08,1
Douglas,2023-08,22
Etheridge,2023-08,1
Fraser Coast,2023-08,116
Gladstone,2023-08,44
Gold Coast,2023-08,3475
Goondiwindi,2023-08,3
Gympie,2023-08,54
Hinchinbrook,2023-08,2
Ipswich,2023-08,683
Isaac,2023-08,8
Livingstone,2023-08,33
Lockyer Valley,2023-08,49
Logan,2023-08,945
Mackay,2023-08,95
Maranoa,2023-08,3
Mareeba,2023-08,23
Moreton Bay,2023-08,1413
Mount Isa,2023-08,4
Noosa,2023-08,288
North Burnett,2023-08,1
Redland,2023-08,532
Rockhampton,2023-08,82
Scenic Rim,2023-08,119
Somerset,2023-08,24
South Burnett,2023-08,28
Southern Downs,2023-08,31
Sunshine Coast,2023-08,1357
Tablelands,2023-08,27
Toowoomba,2023-08,310
Townsville,2023-08,317
Western Downs,2023-08,23
Whitsunday,2023-08,20
Banana,2023-09,1
Brisbane,2023-09,10576
Bundaberg,2023-09,101
Burdekin,2023-09,6
Cairns,2023-09,333
Cassowary Coast,2023-09,19
Central Highlands,2023-09,18
Cook,2023-09,1
Douglas,2023-09,24
Etheridge,2023-09,1
Fraser Coast,2023-09,131
Gladstone,2023-09,45
Gold Coast,2023-09,3773
Goondiwindi,2023-09,3
Gympie,2023-09,61
Hinchinbrook,2023-09,2
Ipswich,2023-09,761
Isaac,2023-09,8
Livingstone,2023-09,35
Lockyer Valley,2023-09,55
Logan,2023-09,1069
Mackay,2023-09,102
Maranoa,2023-09,3
Mareeba,2023-09,24
Moreton Bay,2023-09,1555
Mount Isa,2023-09,4
Noosa,2023-09,307
North Burnett,2023-09,1
Redland,2023-09,591
Rockhampton,2023-09,95
Scenic Rim,2023-09,125
Somerset,2023-09,24
South Burnett,2023-09,30
Southern Downs,2023-09,33
Sunshine Coast,2023-09,1464
Tablelands,2023-09,30
Toowoomba,2023-09,326
Townsville,2023-09,342
Western Downs,2023-09,23
Whitsunday,2023-09,22
Banana,2023-10,1
Brisbane,2023-10,11151
Bundaberg,2023-10,108
Burdekin,2023-10,7
Cairns,2023-10,360
Cassowary Coast,2023-10,20
Central Highlands,2023-10,18
Cook,2023-10,1
Douglas,2023-10,26
Etheridge,2023-10,1
Fraser Coast,2023-10,140
Gladstone,2023-10,48
Gold Coast,2023-10,3888
Goondiwindi,2023-10,3
Gympie,2023-10,68
Hinchinbrook,2023-10,3
Ipswich,2023-10,811
Isaac,2023-10,8
Livingstone,2023-10,37
Lockyer Valley,2023-10,60
Logan,2023-10,1154
