postcode,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,battery_kwh,battery_n,solar_kw,solar_n,chg_sites,chg_fast,chg_points
3286,529,298,625,628,647,656,649,0,0,0,3,0,44.88,3,546.986,82,0,0,0
3287,414,198,480,487,482,485,492,0,0,0,3,0,106.2,4,402.302,62,0,0,0
3289,804,416,832,844,844,849,842,0,0,0,0,0,199.64,7,903.077,142,0,0,0
3294,968,516,1037,1065,1073,1081,1085,0,0,3,3,3,266.97,13,1237.534,163,1,1,2
3300,10489,5133,9325,9394,9523,9600,9720,0,5,8,18,31,1170.054,57,8311.617,1235,1,1,2
3301,1279,589,1261,1245,1318,1378,1357,0,0,3,3,3,170.768,9,1116.387,176,0,0,0
3302,366,191,415,409,413,432,422,0,0,0,0,0,0,0,307.385,53,0,0,0
3304,2763,1367,2760,2796,2789,2793,2782,0,0,0,3,0,406.6,22,3020.683,483,2,1,2
3305,13330,6515,12064,12265,12387,12379,12613,0,3,7,9,19,2400.194,98,12371.953,2016,1,1,1
3311,1677,970,1711,1759,1765,1729,1764,0,0,0,0,0,319.872,14,1757.927,300,0,0,0
3312,1029,531,996,1025,1020,1014,1022,0,0,3,0,0,102.031,3,833.615,137,0,0,0
3314,568,283,621,635,637,612,606,0,0,3,3,4,224.84,7,695.796,105,0,0,0
3315,1690,901,1900,1938,1970,1941,1923,0,0,0,0,0,180.45,11,1647.225,269,0,0,0
3318,1249,734,1346,1350,1348,1346,1311,0,0,0,0,0,202.38,12,1762.736,257,1,1,1
3319,403,238,399,396,419,437,418,0,0,0,0,0,22.08,1,343.481,59,0,0,0
3321,1790,635,1567,1597,1592,1659,1761,0,3,0,5,8,1303.664,42,2748.62,399,0,0,0
3324,583,349,636,653,630,647,638,0,0,0,0,0,75.4,3,615.61,112,0,0,0
3325,458,269,601,617,628,618,646,0,0,0,0,3,287.656,10,855.92,119,0,0,0
3328,2310,741,1726,1865,1966,2092,2192,0,0,0,3,10,1702.548,54,3146.327,498,0,0,0
3331,7207,2490,5735,5932,6111,6271,6444,0,4,8,20,43,4249.124,142,9325.625,1427,1,1,1
3332,1185,427,1054,1109,1184,1205,1262,3,4,5,6,10,680.478,23,1953.969,255,0,0,0
3333,863,368,895,920,924,953,952,0,0,0,0,3,454.76,17,1395.312,173,1,1,2
3334,548,276,612,611,618,617,631,3,3,0,0,3,276.9,9,557.901,88,0,0,0
3335,6188,2375,4049,5221,7044,9216,11258,0,7,28,87,150,15329.541,447,24832.698,3507,0,0,0
3336,17762,5425,7451,9834,12717,15983,19849,0,19,72,181,319,29242.175,845,35865.34,4813,0,0,0
3337,40797,15188,29478,29299,29642,30238,31231,9,22,46,91,146,14071.487,482,36090.273,6122,0,0,0
3338,37087,12880,20681,22073,24107,26376,29319,8,16,58,132,251,25005.8,777,44937.396,7005,2,1,3
3340,25602,10122,20317,21357,21453,21711,22571,9,16,41,86,156,12382.789,448,26432.519,4177,0,0,0
3341,1643,635,1738,1750,1689,1746,1795,3,3,0,4,8,777.94,27,1996.147,330,0,0,0
3342,3930,1729,3641,3716,3790,3819,3899,5,7,9,21,30,2060.677,86,5164.336,811,0,0,0
3345,1400,575,1262,1304,1337,1341,1394,0,0,3,3,6,913.868,35,2206.969,339,0,0,0
3350,66101,29531,49848,51325,52011,52789,54066,35,74,133,300,464,22463.989,903,57688.37,8475,5,3,29
3351,9120,3716,8555,8903,9189,9442,9674,5,9,10,26,41,5096.096,184,11919.513,1857,1,0,1
3352,18898,7324,17189,18010,18554,18960,19154,3,9,20,54,81,10944.097,389,26036.707,3591,1,1,4
3355,13097,6337,12333,12819,13184,13348,13527,5,12,21,36,62,3053.194,129,13371.563,1607,2,1,13
3356,15578,7265,12503,12390,12563,12479,12809,0,0,9,25,47,3282.262,141,14224.642,2157,1,0,2
