osm_id,lat,lon,name,operator,access,capacity,fast,lga_code,vic_postcode,state
node/5985113586,-35.2942945,149.1902341,Tesla Supercharger,Tesla,customers,6,TRUE,89399,,ACT
node/10815538922,-35.4161685,149.0642995,Tesla Supercharger,Tesla,yes,6,TRUE,89399,,ACT
node/13898003740,-35.1886416,149.0822289,Tesla Supercharger,Tesla,"",4,TRUE,89399,,ACT
node/13676576817,-35.3660072,149.0951713,bp pulse,bp pulse,yes,,TRUE,89399,,ACT
node/14175182691,-35.4132764,149.1278865,bp pulse,bp pulse,"",2,TRUE,89399,,ACT
node/6758195608,-36.0283814,146.8959075,"","","",,FALSE,10050,,NSW
node/7244697466,-36.0837898,146.9148011,NRMA,NRMA,"",,TRUE,10050,,NSW
node/11386697708,-36.0792896,146.9135464,Tesla Supercharger,Tesla,yes,16,TRUE,10050,,NSW
node/8133502030,-30.5119326,151.6696956,NRMA,NRMA,"",1,FALSE,10180,,NSW
node/8692040374,-30.555484,151.6821565,Peterson's Armidale,Peterson's Armidale,"",1,FALSE,10180,,NSW
node/8709283408,-30.5062581,151.6728399,Tesla Destination Charger,Powerhouse Hotel,customers,2,FALSE,10180,,NSW
node/12856495137,-30.5134175,151.6636968,Tesla Supercharger,Tesla,"",4,TRUE,10180,,NSW
node/6907644721,-28.857635,153.5617941,Chargefox,Chargefox,"",,FALSE,10250,,NSW
node/6961067090,-28.870871,153.563108,Tesla Destination Charger,Tesla,permissive,,FALSE,10250,,NSW
node/6460580922,-28.7495635,153.5347035,Tesla Supercharger,Tesla,yes,6,TRUE,10250,,NSW
node/10687073170,-28.8616621,153.5169159,bp pulse,bp pulse,"",2,TRUE,10250,,NSW
node/7742159359,-34.6396148,143.5644882,NRMA,NRMA,"",,TRUE,10300,,NSW
node/7842335713,-33.4257824,149.5813787,EO,EO,"",2,FALSE,10470,,NSW
node/12481649796,-33.4141679,149.5834212,Evie Networks,Evie Networks,"",4,TRUE,10470,,NSW
node/6489744914,-33.4191414,149.5867462,NRMA,NRMA,"",1,TRUE,10470,,NSW
node/13013484065,-33.4136362,149.5853966,NRMA,NRMA,"",4,TRUE,10470,,NSW
node/13971868676,-33.4184874,149.5829572,Tesla,Tesla,"",2,FALSE,10470,,NSW
node/8302152508,-33.4190492,149.5866349,Tesla Supercharger,Tesla,yes,6,TRUE,10470,,NSW
node/13670381853,-33.4193774,149.6223896,bp pulse,bp pulse,"",6,TRUE,10470,,NSW
node/13688532602,-33.9243219,151.2114879,Eastlakes Supercharger,Tesla,yes,,FALSE,10500,,NSW
node/10863588015,-33.9205413,151.1911399,Jolt,Jolt,yes,2,TRUE,10500,,NSW
node/6305536144,-33.9285142,151.186122,Tesla Destination Charger,Tesla,"",,FALSE,10500,,NSW
node/12284563526,-36.6968576,149.8415044,Chargefox,Chargefox,"",,TRUE,10550,,NSW
node/13244748958,-36.6785407,149.8450775,Exploren,Exploren,"",4,FALSE,10550,,NSW
node/13244874411,-37.0777375,149.8755206,Exploren,Exploren,"",,FALSE,10550,,NSW
node/13566011211,-36.8856518,149.907078,Merimbula Supercharger,Tesla,yes,8,TRUE,10550,,NSW
node/6711862737,-36.6731502,149.8431789,NRMA,NRMA,"",2,TRUE,10550,,NSW
node/9121818285,-36.8951652,149.9120037,Tesla Destination Charger,"Tesla, Inc.","",,FALSE,10550,,NSW
node/13928568813,-30.3387457,152.7136732,NRMA,NRMA,"",,FALSE,10600,,NSW
node/13928568814,-30.3382377,152.7128113,NRMA,NRMA,"",2,TRUE,10600,,NSW
node/9408923628,-33.7848221,150.8530426,"","",yes,4,FALSE,10750,,NSW
node/13530611083,-33.7875506,150.8545674,"","",yes,4,FALSE,10750,,NSW
node/11440214108,-33.7161538,150.8447937,AmpCharge,AmpCharge,"",2,TRUE,10750,,NSW
node/13036266779,-33.7743896,150.9449213,AmpCharge,AmpCharge,"",,TRUE,10750,,NSW
node/13036304448,-33.8016436,150.8878206,AmpCharge,AmpCharge,"",10,TRUE,10750,,NSW
node/13246979353,-33.7059734,150.9107867,AmpCharge,AmpCharge,"",4,TRUE,10750,,NSW
node/13371885230,-33.802347,150.8815263,AmpCharge,AmpCharge,"",10,TRUE,10750,,NSW
node/13613220880,-33.801551,150.888025,AmpCharge,AmpCharge,"",,FALSE,10750,,NSW
node/13613244882,-33.8022938,150.8810765,AmpCharge,AmpCharge,"",,FALSE,10750,,NSW
way/1559823913,-33.7816215,150.8534842,Ampol AmpCharge,Ampol,"",7,FALSE,10750,,NSW
node/7237598406,-33.7708416,150.8452155,Chargefox,Chargefox,"",,FALSE,10750,,NSW
node/13064521073,-33.7198068,150.8425731,Chargefox,Chargefox,"",4,FALSE,10750,,NSW
node/13966472049,-33.7009719,150.805339,Chargefox,Chargefox,"",2,TRUE,10750,,NSW
node/8169947525,-33.7671436,150.9548236,Evie Networks,Evie Networks,yes,350,TRUE,10750,,NSW
node/9309912420,-33.7054584,150.8754276,Evie Networks,Evie Networks,"",,FALSE,10750,,NSW
node/11365136257,-33.775792,150.9330041,Evie Networks,Evie Networks,"",,TRUE,10750,,NSW
node/13205693685,-33.779921,150.8132069,Evie Networks,Evie Networks,"",5,TRUE,10750,,NSW
node/11167384460,-33.6832925,150.9165225,Jolt,Jolt,"",1,FALSE,10750,,NSW
node/11258008348,-33.7355105,150.8513323,Jolt,Jolt,yes,2,FALSE,10750,,NSW
node/11372241486,-33.7004394,150.9281721,Jolt,Jolt,"",2,FALSE,10750,,NSW
node/10590006365,-33.8109506,150.8503059,bp pulse,bp pulse,"",2,TRUE,10750,,NSW
node/10984470645,-33.7671757,150.9518073,bp pulse,bp pulse,"",2,FALSE,10750,,NSW
node/13639603763,-33.7197252,150.8448654,bp pulse,bp pulse,"",6,TRUE,10750,,NSW
node/6460796546,-33.9237229,147.2036752,NRMA,NRMA,"",4,TRUE,10800,,NSW
node/11335189892,-33.7655858,150.6218055,AmpCharge,AmpCharge,"",,TRUE,10900,,NSW
node/11335199123,-33.7210003,150.4519114,AmpCharge,AmpCharge,"",2,TRUE,10900,,NSW
node/12404567155,-33.7206984,150.4297379,Evie Networks,Evie Networks,"",2,TRUE,10900,,NSW
node/13033494574,-33.6746391,150.2805582,Tesla Destination Charger,Tesla,"",2,FALSE,10900,,NSW
node/10861761260,-33.7452182,150.6104117,Tesla Supercharger,Tesla,yes,6,TRUE,10900,,NSW
node/10048386532,-31.5643351,147.1969608,NRMA,NRMA,"",,FALSE,10950,,NSW
node/9771012966,-30.0884156,145.9348827,NRMA,NRMA,"",2,FALSE,11150,,NSW
node/9771012967,-29.9607798,146.8577827,NRMA,NRMA,"",2,FALSE,11200,,NSW
node/9344898113,-31.9596719,141.4595159,NRMA,NRMA,"",,FALSE,11250,,NSW
node/13441699802,-33.8749576,151.1018198,EVX,EVX,"",,FALSE,11300,,NSW
node/9404724469,-33.8872485,151.099324,Jolt,Jolt,yes,,FALSE,11300,,NSW
node/9672846122,-33.8947565,151.1096799,Jolt,Jolt,yes,1,FALSE,11300,,NSW
node/9738285222,-33.873882,151.1019416,Jolt,Jolt,yes,1,FALSE,11300,,NSW
node/9863000835,-33.8720579,151.0954277,Jolt,Jolt,"",1,FALSE,11300,,NSW
node/10780543260,-33.869384,151.1077617,Jolt,Jolt,"",,FALSE,11300,,NSW
node/13977276314,-28.6297393,153.5802747,"","","",,FALSE,11350,,NSW
node/5270964444,-28.643176,153.615842,Chargefox,Chargefox,"",2,FALSE,11350,,NSW
node/13242756701,-28.6738417,153.6119666,Ingenia Byron Bay,"","",2,FALSE,11350,,NSW
node/6695968988,-28.636313,153.553519,NRMA,NRMA,"",2,TRUE,11350,,NSW
node/13197398595,-28.6977809,153.5090379,Ocular,Ocular,"",2,FALSE,11350,,NSW
node/13951280503,-28.649801,153.6136707,Tesla Supercharger,Tesla,"",8,TRUE,11350,,NSW
way/1550315727,-33.0908754,148.8704004,NRMA,NRMA,"",4,TRUE,11400,,NSW
node/9354339800,-33.9532239,150.8040539,"","","",,FALSE,11450,,NSW
node/13018467011,-34.0395363,150.7431652,AmpCharge,AmpCharge,"",4,TRUE,11450,,NSW
node/11695236309,-34.0418122,150.7354796,Evie Networks,Evie Networks,"",,TRUE,11450,,NSW
node/12757295582,-34.0440001,150.7371231,Exploren,Exploren,"",2,FALSE,11450,,NSW
node/13076752054,-34.04937,150.7592972,Exploren,Exploren,"",,FALSE,11450,,NSW
node/13135189454,-34.020313,150.7623274,Exploren,Exploren,"",4,TRUE,11450,,NSW
node/14020908421,-34.0257886,150.7780831,NRMA,NRMA,"",4,TRUE,11450,,NSW
node/12686156645,-34.0496546,150.7599688,Shell Recharge Solutions,Shell Recharge Solutions,"",,TRUE,11450,,NSW
node/13064517071,-33.9620644,150.8063223,Woolworths,Chargefox,"",6,FALSE,11450,,NSW
node/13125814415,-34.0842511,150.8018599,AmpCharge,AmpCharge,"",2,TRUE,11500,,NSW
node/10296267794,-34.0678179,150.7889593,Chargefox,Chargefox,customers,2,FALSE,11500,,NSW
node/10314029528,-34.0678179,150.7889111,Chargefox,Chargefox,customers,2,FALSE,11500,,NSW
node/11842761957,-34.0716189,150.8058677,Chargefox,Chargefox,"",4,TRUE,11500,,NSW
node/11419885107,-34.0720222,150.8051711,Evie Networks,Evie Networks,"",,TRUE,11500,,NSW
node/12015862929,-34.030909,150.8489837,Evie Networks,Evie Networks,"",,TRUE,11500,,NSW
node/13064502527,-33.9758428,150.8115865,Evie Networks,Evie Networks,"",4,TRUE,11500,,NSW
node/10774220953,-34.0714958,150.8073027,Tesla Supercharger,Tesla,"",12,TRUE,11500,,NSW
node/10563108217,-34.0532156,150.8236391,bp pulse,bp pulse,"",,TRUE,11500,,NSW
node/10959087488,-33.9887792,150.8593146,bp pulse,bp pulse,"",2,FALSE,11500,,NSW
node/10050161556,-33.8359626,151.0848349,"","","",4,FALSE,11520,,NSW
node/9958152708,-33.8300902,151.0860347,Chargefox,Chargefox,permissive,2,FALSE,11520,,NSW
node/13168678393,-33.8639878,151.0894241,Evie Networks,Evie Networks,"",6,TRUE,11520,,NSW
node/13168689959,-33.8544347,151.103953,Evie Networks,Evie Networks,"",2,TRUE,11520,,NSW
node/13586251301,-33.8686703,151.1186059,Evie Networks,Evie Networks,"",,TRUE,11520,,NSW
node/10208698066,-33.8740665,151.1267452,bp pulse,bp pulse,"",2,TRUE,11520,,NSW
node/11189565177,-33.9077366,151.1038722,"","","",2,FALSE,11570,,NSW
node/11079299253,-33.9047467,151.0646034,AmpCharge,AmpCharge,yes,2,FALSE,11570,,NSW
node/12560173013,-33.9327164,151.0284555,Bankstown Supercharger,Tesla,yes,6,TRUE,11570,,NSW
node/13064595558,-33.9352716,151.069286,Chargefox,Chargefox,"",2,TRUE,11570,,NSW
node/9363608762,-33.9320564,151.0301289,Evie Networks,Evie Networks,"",,TRUE,11570,,NSW
node/13235807509,-33.919065,151.0875521,Exploren,Exploren,"",4,FALSE,11570,,NSW
node/14011529760,-33.9083535,151.0578497,Exploren,Exploren,"",2,TRUE,11570,,NSW
node/14028035884,-33.8975351,151.1232149,Exploren,Exploren,yes,,FALSE,11570,,NSW
node/10218282678,-33.9195544,151.0669461,bp pulse,bp pulse,yes,,TRUE,11570,,NSW
node/10628109252,-33.9388196,151.0177286,bp pulse,bp pulse,"",,FALSE,11570,,NSW
node/13774450454,-33.8928944,151.0389225,bp pulse,bp pulse,"",8,TRUE,11570,,NSW
node/12483992745,-33.5249059,151.3127099,AGL,AGL,yes,,FALSE,11650,,NSW
node/11129535113,-33.4275068,151.3214629,AmpCharge,AmpCharge,yes,,TRUE,11650,,NSW
node/13953152378,-33.3728412,151.4727423,AmpCharge,AmpCharge,yes,10,TRUE,11650,,NSW
node/14075869947,-33.2557264,151.4026311,AmpCharge,AmpCharge,"",8,TRUE,11650,,NSW
node/14075869948,-33.2537592,151.4055458,AmpCharge,AmpCharge,"",8,TRUE,11650,,NSW
node/14156174213,-33.4675382,151.3825181,AmpCharge,AmpCharge,yes,4,FALSE,11650,,NSW
node/10232012344,-33.3628805,151.4443624,BP Pulse,BP Pulse,"",,FALSE,11650,,NSW
node/13441696002,-33.529774,151.3107754,Chargefox,Chargefox,"",,FALSE,11650,,NSW
node/13441696001,-33.5300878,151.3101679,NRMA,NRMA,"",,FALSE,11650,,NSW
node/5047210796,-33.5212508,151.3749048,Tesla Motors,Tesla Motors,"",,FALSE,11650,,NSW
node/6517096170,-33.3101932,151.420595,Tesla Supercharger,Tesla,yes,,TRUE,11650,,NSW
node/12167451932,-33.4249948,151.3201664,Tesla Supercharger,Tesla,"",12,TRUE,11650,,NSW
node/9470340169,-31.5575066,143.3857829,NRMA,NRMA,"",,FALSE,11700,,NSW
node/7375482623,-32.7742468,151.2946203,NRMA,NRMA,"",,FALSE,11720,,NSW
node/14197287043,-32.7734669,151.3099091,Tesla,Tesla,"",8,FALSE,11720,,NSW
node/13694302014,-32.7735481,151.3104542,Tesla Supercharger,Tesla,"",8,TRUE,11720,,NSW
node/13830632498,-29.4500482,153.2004198,"","",yes,25,FALSE,11730,,NSW
node/8994778322,-29.5612453,153.1492504,Evie Networks,Evie Networks,"",2,TRUE,11730,,NSW
node/6656345063,-29.6881629,152.9335121,NRMA,NRMA,yes,1,TRUE,11730,,NSW
