postcode,median_income,individuals,income_group
3799,51960,3215,1
3802,54005,14568,2
3803,50897,6234,1
3804,58551,5448,3
3805,55566,35427,2
3806,61678,34176,4
3807,63356,5116,4
3808,64407,2104,4
3809,63206,15677,4
3810,56838,34588,2
3812,54952,1625,2
3813,56686,619,2
3814,54838,1595,2
3815,57456,2269,3
3816,56850,1937,2
3818,55235,10918,2
3820,55987,13031,2
3821,54120,1929,2
3822,57353,664,3
3823,53714,1372,2
3824,54945,3189,2
3825,52530,11297,2
3831,51510,1199,1
3835,53906,338,2
3840,48688,8581,1
3842,50835,2587,1
3844,58836,18967,3
3847,52775,1321,2
3850,54343,8933,2
3851,46324,3052,1
3854,58609,986,3
3856,57671,659,3
3857,51347,207,1
3858,50467,1919,1
3859,51535,550,1
3860,51420,4385,1
3862,53259,2387,2
3865,45589,336,1
3869,58350,1167,3
3870,44794,727,1
3871,48635,1663,1
3873,44819,228,1
3874,43697,364,1
3875,49476,11968,1
3878,49199,855,1
3880,43663,2377,1
3882,50434,873,1
3885,46941,1139,1
3886,40350,227,1
3888,45098,1862,1
3892,41234,646,1
3896,42926,219,1
3898,46172,442,1
3902,44880,233,1
3903,47472,484,1
3904,43030,1120,1
3909,43858,4515,1
3910,62258,14648,4
3911,56927,2272,2
3912,59385,9730,3
3913,56665,2382,2
3915,53878,5711,2
3916,57842,689,3
3918,55373,2603,2
3919,56156,1912,2
3920,65119,349,4
3922,44874,5833,1
3923,44548,494,1
3925,49740,2856,1
3926,54642,2251,2
3927,52176,1158,2
3928,55999,347,2
3929,56560,801,2
3930,65430,11864,4
3931,54715,15359,2
3933,55712,749,2
3934,58900,12423,3
3936,51620,7935,1
3937,54897,1057,2
3938,49726,2115,1
3939,49135,9072,1
3940,47940,2501,1
3941,48919,7982,1
3942,52117,1789,2
3943,60926,1347,4
3944,75809,656,5
3945,44250,654,1
3950,50365,3042,1
3951,44936,665,1
3953,49294,5087,1
3954,44455,251,1
3956,43713,1731,1
3957,54898,221,2
3959,44327,780,1
3960,43370,1642,1
3962,42615,511,1
3966,40446,366,1
3971,44136,2310,1
3975,57932,11458,3
3976,51990,14875,1
3977,57157,74221,3
3978,58136,39041,3
3979,48112,236,1
3980,58628,2168,3
3981,58372,3415,3
3984,54911,4730,2
3987,56986,998,3
3988,48326,716,1
3991,43752,281,1
3992,46632,790,1
3995,46125,6844,1
3996,48421,3971,1
