lga_code,state,lga_name,median_income,earners,income_group,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,solar_n,solar_kw,battery_n,battery_kwh,chg_sites,chg_fast,chg_points
23810,VIC,Latrobe,54045,45525,2,77420,35645,66782,68088.6,69211,69958.1,71583,16.6,39.1,103.8,209.6,309.2,13145.6,84250.6,1156.6,27407.3,9,6,16
23940,VIC,Loddon,43528,4515,1,7818,4284,8115.8,8340.2,8453.8,8573.2,8707.3,0.2,0.8,5.1,12.4,14.9,2092.3,14081.9,144.3,3826,3,2,5
24130,VIC,Macedon Ranges,61341,34430,4,51402,20560,44355.8,45733.8,46315.3,47037.9,48374.1,33.8,73.4,159.8,321.5,543,10268.6,71301.8,1158.7,31849.5,6,6,9
24210,VIC,Manningham,54916,86934,2,124729,49957,89570.5,89559.8,90838.4,92237.8,93847.8,135.2,276.6,643.3,1353.6,2274.5,13281.3,87561.9,2405.9,80426.2,2,1,5
24250,VIC,Mansfield,45899,6601,1,10204,6633,10153.9,11165.8,11365.5,11218.3,11363.2,5.6,19.7,23.7,37.2,51.4,2710,20991.6,248,6757.9,3,2,9
24330,VIC,Maribyrnong,64333,64489,4,85281,40470,54072.6,54106,55464.6,56952.3,57937.5,53.2,107.7,257.2,592,965.3,6516.6,43972.4,733.2,20516.8,3,3,6
24410,VIC,Maroondah,61697,76921,4,115007,46933,84914.6,85066.4,85790.4,87098.6,88499.4,76.7,138.2,288,696.1,1197.2,13421.2,88030.6,1870.2,52949.6,5,5,10
24600,VIC,Melbourne,48184,143046,1,149551,103241,74873.9,78276,78889.3,78681.6,78253.6,214.2,391.6,721.5,1671,2472.1,1969.1,22262,176.9,4285,32,4,48
24650,VIC,Melton,58861,120780,4,179072,60332,113209,118357,126420.2,135849.7,147219.4,37.5,121.3,360.5,810.1,1384.6,31465.7,202310.2,3629.7,118688.7,5,3,17
24700,VIC,Merri-bek,65464,121516,4,171181,78240,108534.9,108949.9,110530.5,112912.5,116031,109.3,221.5,441.5,878.1,1456.6,13784,82809.5,1345.1,34733.3,13,5,24
24780,VIC,Mildura,48379,37763,1,56944,25361,50045.5,50767.9,51249.5,51790.4,52821.3,9,15,32,73,110,10322.9,86089.8,536,13557.8,6,6,9
24850,VIC,Mitchell,58083,32469,3,49471,19561,41074.9,42620.1,43968.9,45865.6,48875.8,14.2,27.6,68.7,146.7,233,10063.2,65749.1,993.1,28816.8,7,7,21
24900,VIC,Moira,47647,19153,1,30522,14896,29009.9,29974.4,30476.9,30855.8,31661.7,2.4,5.4,22.6,37.6,58.9,8381.8,61577.9,558.9,13312.9,2,2,3
24970,VIC,Monash,54369,134807,2,190330,76282,136908.9,138323.5,141710,146505.3,150060.9,231.3,584.1,1035.6,2456.2,4023.9,20544.9,135957.4,3868.4,127216.8,17,6,55
25060,VIC,Moonee Valley,68365,86203,5,121734,55245,83299.3,84416.7,86139,88570.3,90948.6,89.4,204.4,419.9,952.9,1516.7,9361.3,61028.3,1061.2,30577.6,5,5,60
25150,VIC,Moorabool,60648,24392,4,37612,15438,31746.2,33102.3,33364.2,33795.8,34893.6,22,33,60.4,132.3,230.3,6769.2,43703.9,716.6,19414.1,0,0,0
25340,VIC,Mornington Peninsula,53252,108391,1,168957,93482,138573.8,140939.3,140762.3,141724.7,144867.5,154,358.8,689.7,1289.3,1984.5,29335,197166.8,3130,78198.6,14,8,76
25430,VIC,Mount Alexander,46680,12562,1,20280,10206,17922.7,18553.4,18817,18850.4,19175.8,11.4,35.5,73,137.5,212.5,5538.1,29422.5,491.4,10272.9,3,2,6
25490,VIC,Moyne,50974,11977,1,17323,8616,16364.5,16742.1,17004.7,17191.3,17443.7,1.5,4.8,9.5,42.5,68.2,2797.3,22140.2,229.9,5511.3,2,0,3
25620,VIC,Murrindindi,48029,9636,1,15189,8307,15247.2,15907.8,16158.1,16177.3,16483.8,4.9,16.1,32.2,43.7,67.9,3791.2,25286.3,367.1,10284.5,6,2,10
25710,VIC,Nillumbik,65505,44392,5,62876,22398,49649.1,49657,49923.4,50275.6,50957.6,67.3,126.8,233.8,475.1,768.6,8495.2,57454.1,1224.1,35221.5,3,2,6
25810,VIC,Northern Grampians,47563,7583,1,11956,6212,11538.4,11781.2,11887.8,12022.8,12164.3,0,5.2,5.9,9.5,17.7,2255.2,15363.2,129.6,3429.7,4,3,17
25900,VIC,Port Phillip,71154,84974,5,102008,63331,74292.9,74525.2,75320.2,78268.6,82492.5,203,364.9,659.6,1491.5,2420.2,3559.4,26358.5,367.5,8417.4,5,3,8
25990,VIC,Pyrenees,44424,4375,1,7690,3907,7855.4,8079.7,8178.6,8329.6,8488.2,0.9,1.8,10.2,21.1,22.3,1841.2,11729.6,159.4,4351.3,3,3,6
26080,VIC,Queenscliffe,49539,2251,1,3291,2870,2817,3128,3171.6,3155.8,3248,5.5,9.7,23.6,40,63,1049.2,6507,126,2804.2,1,1,4
26170,VIC,South Gippsland,46262,19377,1,30549,17142,28902.9,29836,30093.4,30101.2,30585.6,16.9,34.6,51.3,89.6,139.5,7382.7,48336.7,639.8,15890,9,9,11
26260,VIC,Southern Grampians,47834,10687,1,16608,8335,15982.2,16132.2,16371.8,16463.8,16546,0,5,16.9,26.7,40.8,2229.2,14697.4,106.5,2319.5,2,2,4
26350,VIC,Stonnington,75568,84745,5,104637,59514,64871.2,64414.3,65072.9,66055,66544.4,264.6,435.5,763.9,1364.8,1861.9,5043.1,36062.5,718.9,20144.7,12,10,43
26430,VIC,Strathbogie,47641,7165,1,11475,6153,11421.8,11760.4,11905.8,11978.9,12345.6,5,12.9,26.1,48.3,70.3,3268.7,21743.8,295.3,7354.1,4,4,16
26490,VIC,Surf Coast,57562,26264,3,37675,20616,33309.4,35457.8,35494.2,35622.2,36375.8,26.5,80.5,171.3,345.5,573.4,7848.2,50890.4,829.6,20913.8,6,4,19
26610,VIC,Swan Hill,45794,15660,1,21437,9543,21290.4,21548.1,21537.5,21895.4,22255.8,3,0,6,14,16,3994.5,39101.4,206.9,6806.3,2,2,3
26670,VIC,Towong,47809,4010,1,6216,3095,6507.7,6675,6663.8,6805.2,6864.2,0.6,0.8,2.1,4.3,9.9,2012.9,13860.9,169.5,4155.2,1,1,1
26700,VIC,Wangaratta,51278,19638,1,29801,13612,26397.2,27122,27635.8,28200.2,28771.7,8,14.8,25.6,71.2,93,7153.4,48994.9,717.8,16605,5,5,15
26730,VIC,Warrnambool,54799,24323,2,35403,16001,29388.1,30115.3,30468.5,30826.9,31558.3,9,22.9,66.9,122.8,171.8,3959.7,27215,343.5,8187.6,2,2,10
26810,VIC,Wellington,49813,28214,1,45580,23426,40830.1,41946,42555.8,43070.1,43751.1,10.1,17.3,19.8,88.7,140.9,9296.6,62804.2,797.4,19898.7,9,5,12
26890,VIC,West Wimmera,45717,2580,1,3981,2276,4302.1,4335.1,4348.1,4340.3,4285.1,0,0,1.1,3.2,3.2,809.3,5107.3,26.9,548.2,3,3,12
